ts_code,trade_date,open,high,low,close,vol,amount
000001.SH,20031128,1346.481,1423.582,1307.395,1397.225,30961748600.0,188745041280.0
000001.SH,20031031,1366.201,1411.88,1334.784,1348.303,16445321500.0,106684902220.0
000001.SH,20030930,1423.353,1456.553,1348.222,1367.161,15524801100.0,114426156910.0
000001.SH,20030829,1476.47,1497.102,1406.681,1421.983,12985648000.0,95330707840.0
000001.SH,20030731,1485.521,1540.194,1464.866,1476.742,21092992700.0,151572138790.0
000001.SH,20030630,1577.987,1582.412,1483.686,1486.024,24073813400.0,159559025370.0
000001.SH,20030530,1522.981,1581.612,1477.252,1576.261,26593163200.0,194373542510.0
000001.SH,20030430,1513.001,1649.603,1473.266,1521.444,54257118600.0,375857061900.0
000001.SH,20030331,1511.585,1529.752,1447.014,1510.578,17724195600.0,132802564100.0
000001.SH,20030228,1499.166,1524.751,1474.471,1511.932,14764129800.0,103491797220.0
000001.SH,20030129,1347.433,1508.588,1311.684,1499.815,31884221700.0,195592849710.0
000001.SH,20021231,1432.029,1439.85,1348.714,1357.654,15741080100.0,108861055020.0
000001.SH,20021129,1507.383,1573.104,1353.139,1434.182,18064250300.0,120814253790.0
000001.SH,20021031,1577.052,1577.052,1488.679,1507.496,12315420200.0,75239629080.0
000001.SH,20020927,1666.341,1680.279,1577.53,1581.618,11094500000.0,86371998480.0
000001.SH,20020830,1650.054,1696.277,1624.049,1666.618,13655652900.0,114071732240.0
000001.SH,20020731,1736.293,1741.918,1647.265,1651.594,24156900000.0,202496317530.0
000001.SH,20020628,1510.247,1748.89,1455.305,1732.755,34887750300.0,246000520640.0
000001.SH,20020531,1669.871,1670.917,1506.542,1515.733,12801790000.0,109693882210.0
000001.SH,20020430,1598.026,1680.298,1575.972,1667.749,22582960100.0,184107535350.0
000001.SH,20020329,1521.528,1693.873,1494.834,1603.905,38096706600.0,289090556260.0
000001.SH,20020228,1494.577,1544.921,1476.133,1524.701,11910210000.0,82617571270.0
000001.SH,20020131,1643.485,1643.5,1339.2,1491.665,19603400500.0,131840553150.0
000001.SH,20011231,1751.051,1776.019,1593.026,1645.971,17202970200.0,135036525670.0
000001.SH,20011130,1692.351,1748.0,1550.465,1747.993,20739700700.0,143742654130.0
000001.SH,20011031,1766.133,1773.798,1514.862,1689.17,20515480600.0,133580979090.0
000001.SH,20010928,1831.703,1888.901,1750.764,1764.867,18242411800.0,118863608780.0
000001.SH,20010831,1925.239,1990.699,1795.567,1834.138,21488257500.0,167636367850.0
000001.SH,20010731,2220.419,2223.207,1909.297,1920.318,23007781400.0,196849742550.0
000001.SH,20010629,2216.56,2245.435,2157.122,2218.029,32190176500.0,309387146260.0
000001.SH,20010531,2119.898,2222.651,2119.894,2214.257,33231868200.0,283418653130.0
000001.SH,20010430,2117.45,2179.741,2081.644,2119.184,44553979500.0,338558690000.0
000001.SH,20010330,1959.009,2112.879,1953.721,2112.775,35065340400.0,281488508770.0
000001.SH,20010228,2069.856,2072.547,1893.783,1959.18,12508196700.0,116878321610.0
000001.SH,20010119,2077.076,2131.98,2007.706,2065.606,18268580900.0,181074394390.0
000001.SH,20001229,2073.09,2097.29,2024.286,2073.477,25366038200.0,225910383140.0
000001.SH,20001130,1961.08,2125.72,1959.72,2070.61,25104393600.0,266251665020.0
000001.SH,20001031,1912.076,1980.63,1896.945,1961.29,12949521800.0,135405411290.0
000001.SH,20000929,2009.151,2026.351,1874.21,1910.161,15431299600.0,151215412240.0
000001.SH,20000831,2027.013,2114.522,1980.345,2021.199,37574452000.0,347976817500.0
