ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688041.SH,20240927,81.9,86.69,81.1,85.99,80.89,5.099999999999994,6.3,125666.67,1055011.43
688041.SH,20240926,78.71,81.08,77.66,80.89,78.66,2.230000000000004,2.83,176564.7,1403529.574
688041.SH,20240925,79.33,79.9,78.41,78.66,78.03,0.6299999999999955,0.81,156928.98,1244426.784
688041.SH,20240924,76.58,78.96,75.52,78.03,75.42,2.6099999999999994,3.46,167292.06,1297123.362
688041.SH,20240923,75.02,76.26,74.54,75.42,75.83,-0.4099999999999966,-0.54,71436.29,539367.219
688041.SH,20240920,75.91,76.1,74.31,75.83,75.83,0.0,0.0,87770.17,661563.028
688041.SH,20240919,75.56,76.18,73.81,75.83,74.64,1.1899999999999977,1.59,93656.56,705214.748
688041.SH,20240918,77.01,77.27,74.19,74.64,77.89,-3.25,-4.17,105737.57,795802.289
688041.SH,20240913,75.99,78.63,75.99,77.89,76.01,1.8799999999999955,2.47,123867.18,959933.047
688041.SH,20240912,79.5,79.99,75.93,76.01,79.11,-3.0999999999999943,-3.92,106552.35,828398.601
688041.SH,20240911,78.41,79.47,78.26,79.11,78.81,0.29999999999999716,0.38,81207.85,641640.269
688041.SH,20240910,76.31,79.78,75.94,78.81,76.31,2.5,3.28,123113.93,965438.312
688041.SH,20240909,75.91,77.93,75.63,76.31,76.09,0.21999999999999886,0.29,80203.41,617417.369
688041.SH,20240906,75.11,78.18,73.91,76.09,74.61,1.480000000000004,1.98,112578.18,865599.166
688041.SH,20240905,76.48,78.09,73.71,74.61,76.38,-1.769999999999996,-2.32,113125.44,857154.56
688041.SH,20240904,76.24,77.19,76.01,76.38,77.23,-0.8500000000000085,-1.1,52525.24,402902.677
688041.SH,20240903,77.78,78.78,77.01,77.23,77.78,-0.5499999999999972,-0.71,74772.79,582441.255
688041.SH,20240902,78.82,80.23,77.69,77.78,79.3,-1.519999999999996,-1.92,117766.52,930756.326
688041.SH,20240830,75.1,79.9,74.71,79.3,74.91,4.390000000000001,5.86,210509.96,1651689.396
688041.SH,20240829,74.31,75.74,73.32,74.91,74.62,0.28999999999999204,0.39,68633.27,513332.814
688041.SH,20240828,75.5,75.8,74.38,74.62,75.21,-0.5899999999999892,-0.78,55231.33,413817.829
688041.SH,20240827,74.34,75.96,74.11,75.21,74.79,0.4199999999999875,0.56,62227.49,468393.834
688041.SH,20240826,76.16,76.91,74.57,74.79,76.16,-1.3699999999999903,-1.8,73785.77,556857.411
688041.SH,20240823,76.76,77.6,75.41,76.16,77.21,-1.0499999999999972,-1.36,96135.52,733067.45
688041.SH,20240822,76.71,78.11,76.46,77.21,76.89,0.3199999999999932,0.42,103492.74,801791.548
688041.SH,20240821,75.01,78.01,75.01,76.89,75.56,1.3299999999999983,1.76,93962.66,721863.167
688041.SH,20240820,77.21,77.29,75.21,75.56,76.75,-1.1899999999999977,-1.55,74906.02,569501.803
688041.SH,20240819,76.89,78.14,76.42,76.75,76.75,0.0,0.0,79379.11,613971.104
688041.SH,20240816,76.5,77.57,76.28,76.75,76.51,0.23999999999999488,0.31,93718.78,721759.991
688041.SH,20240815,73.39,77.91,72.96,76.51,73.48,3.030000000000001,4.12,190433.05,1454000.595
688041.SH,20240814,74.0,74.56,73.17,73.48,73.42,0.060000000000002274,0.08,74669.31,552642.16
688041.SH,20240813,73.7,74.89,72.81,73.42,73.61,-0.18999999999999773,-0.26,75860.31,559439.748
688041.SH,20240812,71.87,74.05,71.61,73.61,71.92,1.6899999999999977,2.35,95286.96,698342.34
688041.SH,20240809,73.31,73.68,71.92,71.92,72.29,-0.37000000000000455,-0.51,78698.45,573237.821
688041.SH,20240808,70.62,73.34,70.43,72.29,71.55,0.7400000000000091,1.03,93052.99,671568.693
688041.SH,20240807,74.78,74.79,71.09,71.55,74.78,-3.230000000000004,-4.32,123435.76,900251.621
688041.SH,20240806,75.09,75.31,72.72,74.78,73.72,1.0600000000000023,1.44,108730.47,804589.61
688041.SH,20240805,77.41,77.41,73.36,73.72,77.88,-4.159999999999997,-5.34,183512.32,1373632.865
688041.SH,20240802,78.11,79.32,77.48,77.88,79.56,-1.6800000000000068,-2.11,131090.15,1029558.555
688041.SH,20240801,80.91,81.2,79.02,79.56,79.4,0.1599999999999966,0.2,168352.42,1344851.667
688041.SH,20240731,74.46,79.77,74.31,79.4,74.91,4.490000000000009,5.99,214188.91,1670244.437
688041.SH,20240730,73.64,74.97,72.4,74.91,73.76,1.1499999999999915,1.56,109025.38,806518.603
688041.SH,20240729,74.42,74.57,72.99,73.76,74.22,-0.45999999999999375,-0.62,82205.94,607072.548
688041.SH,20240726,75.03,75.8,73.64,74.22,74.71,-0.4899999999999949,-0.66,107201.59,800180.307
688041.SH,20240725,74.21,76.4,74.21,74.71,75.35,-0.6400000000000006,-0.85,125217.43,943190.256
688041.SH,20240724,75.11,77.52,74.92,75.35,75.21,0.14000000000000057,0.19,147343.34,1122365.143
688041.SH,20240723,78.38,78.49,75.04,75.21,78.57,-3.3599999999999994,-4.28,166724.37,1281047.586
688041.SH,20240722,78.13,80.08,77.79,78.57,78.13,0.4399999999999977,0.56,210274.24,1659704.837
688041.SH,20240719,74.92,79.07,74.84,78.13,75.27,2.8599999999999994,3.8,279541.82,2179008.992
688041.SH,20240718,75.26,76.4,73.01,75.27,76.53,-1.2600000000000051,-1.65,211911.95,1584205.794
688041.SH,20240717,77.24,78.57,75.97,76.53,77.75,-1.2199999999999989,-1.57,198115.85,1528245.002
688041.SH,20240716,71.43,78.46,71.43,77.75,71.91,5.840000000000003,8.12,337559.98,2555250.946
688041.SH,20240715,70.6,72.86,70.6,71.91,70.51,1.3999999999999915,1.99,144289.6,1041696.174
688041.SH,20240712,71.99,72.21,69.68,70.51,72.9,-2.3900000000000006,-3.28,143735.9,1014855.334
688041.SH,20240711,74.36,74.51,71.93,72.9,72.73,0.1700000000000017,0.23,145925.28,1068572.219
688041.SH,20240710,72.87,73.2,72.19,72.73,73.02,-0.28999999999999204,-0.4,98055.53,713310.286
688041.SH,20240709,70.52,73.58,69.97,73.02,70.9,2.1199999999999903,2.99,159530.52,1151723.78
688041.SH,20240708,71.38,71.63,70.44,70.9,71.41,-0.5099999999999909,-0.71,87963.49,625175.797
688041.SH,20240705,68.82,72.31,67.64,71.41,68.84,2.569999999999993,3.73,174180.59,1222035.298
688041.SH,20240704,71.49,71.61,68.83,68.84,71.11,-2.269999999999996,-3.19,109672.22,764551.07
688041.SH,20240703,70.52,71.89,69.63,71.11,70.96,0.15000000000000568,0.21,92464.31,656039.588
688041.SH,20240702,70.02,71.16,69.44,70.96,70.39,0.5699999999999932,0.81,88612.27,624386.005
688041.SH,20240701,70.12,71.21,69.01,70.39,70.24,0.15000000000000568,0.21,87961.44,617804.119
688041.SH,20240628,70.44,71.81,70.15,70.24,70.97,-0.730000000000004,-1.03,99405.13,706441.684
688041.SH,20240627,71.61,72.09,70.43,70.97,72.56,-1.5900000000000034,-2.19,99620.66,708657.419
688041.SH,20240626,71.07,73.01,69.84,72.56,71.07,1.490000000000009,2.1,139498.96,997601.372
688041.SH,20240625,73.54,73.9,70.46,71.07,73.53,-2.460000000000008,-3.35,167826.13,1203261.628
688041.SH,20240624,75.86,76.87,73.24,73.5,76.61,-3.1099999999999994,-4.06,169830.06,1278723.727
688041.SH,20240621,74.54,76.61,72.88,76.61,74.77,1.8400000000000034,2.46,237825.9,1786831.212
688041.SH,20240620,75.19,75.93,74.04,74.77,75.19,-0.4200000000000017,-0.56,154014.4,1157915.511
688041.SH,20240619,74.57,76.03,74.03,75.19,74.5,0.6899999999999977,0.93,141972.43,1066250.298
688041.SH,20240618,73.38,76.62,73.0,74.5,73.33,1.1700000000000017,1.6,182900.83,1375843.691
688041.SH,20240617,72.57,74.43,72.14,73.33,72.91,0.4200000000000017,0.58,167036.99,1233868.862
688041.SH,20240614,71.48,72.91,70.75,72.91,71.71,1.2000000000000028,1.67,188002.01,1362123.974
688041.SH,20240613,71.26,72.7,70.47,71.71,70.71,1.0,1.41,177967.15,1285763.633
688041.SH,20240612,70.78,71.73,70.28,70.71,71.19,-0.480000000000004,-0.67,115517.89,822480.241
688041.SH,20240611,67.82,71.24,67.28,71.19,67.92,3.269999999999996,4.81,176392.27,1228446.787
688041.SH,20240607,69.36,69.93,67.09,67.92,69.08,-1.1599999999999966,-1.68,139389.97,955227.352
688041.SH,20240606,71.46,71.88,68.08,69.08,70.64,-1.5600000000000023,-2.21,146414.47,1034666.113
688041.SH,20240605,71.31,72.56,70.64,70.64,71.31,-0.6700000000000017,-0.94,98931.32,710794.019
688041.SH,20240604,70.87,71.66,70.52,71.31,70.88,0.4300000000000068,0.61,97349.92,694799.12
688041.SH,20240603,70.29,71.25,69.63,70.88,71.07,-0.18999999999999773,-0.27,128385.09,908579.01
688041.SH,20240531,69.78,71.28,68.99,71.07,69.29,1.779999999999987,2.57,123476.12,870882.762
688041.SH,20240530,68.99,70.35,68.41,69.29,69.32,-0.029999999999986926,-0.04,109962.17,765472.088
688041.SH,20240529,70.7,70.76,68.66,69.32,70.16,-0.8400000000000034,-1.2,107864.1,753231.704
688041.SH,20240528,70.67,73.07,70.16,70.16,70.43,-0.27000000000001023,-0.38,166417.87,1193879.997
688041.SH,20240527,67.78,70.52,67.68,70.43,67.46,2.970000000000013,4.4,179737.26,1247075.28
688041.SH,20240524,71.09,71.85,67.4,67.46,71.09,-3.6300000000000097,-5.11,200136.99,1391700.49
688041.SH,20240523,72.51,72.65,70.82,71.09,72.28,-1.1899999999999977,-1.65,103623.83,742426.678
688041.SH,20240522,71.67,72.56,70.57,72.28,71.79,0.4899999999999949,0.68,125169.93,898364.211
688041.SH,20240521,73.86,74.55,71.65,71.79,73.63,-1.8399999999999892,-2.5,126299.22,924331.115
688041.SH,20240520,73.2,75.03,72.38,73.63,73.63,0.0,0.0,139248.55,1029144.55
688041.SH,20240517,71.96,74.13,71.21,73.63,72.31,1.3199999999999932,1.83,174433.18,1278904.908
688041.SH,20240516,71.75,73.49,70.87,72.31,70.95,1.3599999999999994,1.92,193433.0,1403303.677
688041.SH,20240515,71.47,71.89,70.8,70.95,71.47,-0.519999999999996,-0.73,97411.33,695527.038
688041.SH,20240514,72.19,72.76,70.77,71.47,71.79,-0.3200000000000074,-0.45,137633.93,990712.129
688041.SH,20240513,71.27,73.04,71.15,71.79,72.67,-0.8799999999999955,-1.21,155427.38,1119601.351
688041.SH,20240510,75.77,75.87,72.47,72.67,76.32,-3.6499999999999915,-4.78,192429.56,1417481.164
688041.SH,20240509,75.77,76.83,75.26,76.32,76.12,0.19999999999998863,0.26,160222.91,1224724.228
688041.SH,20240508,75.96,77.0,75.27,76.12,76.34,-0.21999999999999886,-0.29,114604.61,875889.903
688041.SH,20240507,79.26,80.42,76.26,76.34,78.99,-2.6499999999999915,-3.35,194866.13,1522555.442
688041.SH,20240506,80.24,80.7,78.55,78.99,79.0,-0.010000000000005116,-0.01,113491.44,902467.776
