ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,swing,vol
SPX,20240826,5639.66,5616.84,5651.62,5602.34,5634.61,-17.77,-0.32,0.87,2001283.0
SPX,20240823,5602.49,5634.61,5641.82,5585.16,5570.64,63.97,1.15,1.02,2202183.0
SPX,20240822,5637.77,5570.64,5643.22,5560.95,5620.85,-50.21,-0.89,1.46,2194647.0
SPX,20240821,5603.09,5620.85,5632.68,5591.57,5597.12,23.73,0.42,0.73,2012469.0
SPX,20240820,5602.88,5597.12,5620.51,5585.5,5608.25,-11.13,-0.2,0.62,2107091.0
SPX,20240819,5557.23,5608.25,5608.3,5550.74,5554.25,54.0,0.97,1.04,2087595.0
SPX,20240816,5530.5,5554.25,5561.98,5525.17,5543.22,11.03,0.2,0.66,2268720.0
SPX,20240815,5501.13,5543.22,5546.23,5501.13,5455.21,88.01,1.61,0.83,2634229.0
SPX,20240814,5442.36,5455.21,5463.22,5415.91,5434.43,20.78,0.38,0.87,2314941.0
SPX,20240813,5376.98,5434.43,5436.5,5376.98,5344.39,90.04,1.68,1.11,2570812.0
SPX,20240812,5351.88,5344.39,5371.2,5324.37,5344.16,0.23,0.0,0.88,2260298.0
SPX,20240809,5314.66,5344.16,5358.67,5300.84,5319.31,24.85,0.47,1.09,2166862.0
SPX,20240808,5252.57,5319.31,5328.03,5233.85,5199.5,119.81,2.3,1.81,2678077.0
SPX,20240807,5293.13,5199.5,5330.64,5195.54,5240.03,-40.53,-0.77,2.58,2941853.0
SPX,20240806,5206.42,5240.03,5312.34,5193.56,5186.33,53.7,1.04,2.29,3151390.0
SPX,20240805,5151.14,5186.33,5250.89,5119.26,5346.56,-160.23,-3.0,2.46,3980390.0
SPX,20240802,5376.63,5346.56,5383.89,5302.03,5446.68,-100.12,-1.84,1.5,3978703.0
SPX,20240801,5537.84,5446.68,5566.16,5410.42,5522.3,-75.62,-1.37,2.82,3418904.0
SPX,20240930,5726.52,5762.48,5765.14,5703.53,5738.17,24.31,0.42,1.07,2512100.0
SPX,20240927,5755.36,5738.17,5763.78,5727.34,5745.37,-7.2,-0.13,0.63,2317410.0
SPX,20240926,5762.22,5745.37,5767.37,5721.01,5722.26,23.11,0.4,0.81,2756431.0
SPX,20240925,5733.65,5722.26,5741.03,5712.06,5732.93,-10.67,-0.19,0.51,2450341.0
SPX,20240924,5727.66,5732.93,5735.32,5698.99,5718.57,14.36,0.25,0.64,2571338.0
SPX,20240923,5711.9,5718.57,5725.36,5704.22,5702.55,16.02,0.28,0.37,2429303.0
