ts_code,symbol,name,area,industry,fullname,market,exchange,list_status,list_date
688501.SH,688501,青达环保,山东,环境保护,青岛达能环保设备股份有限公司,科创板,SSE,L,2021-07-16
688502.SH,688502,茂莱光学,江苏,元器件,南京茂莱光学科技股份有限公司,科创板,SSE,L,2023-03-09
688503.SH,688503,聚和材料,江苏,电气设备,常州聚和新材料股份有限公司,科创板,SSE,L,2022-12-09
688505.SH,688505,复旦张江,上海,化学制药,上海复旦张江生物医药股份有限公司,科创板,SSE,L,2020-06-19
688506.SH,688506,百利天恒-U,四川,化学制药,四川百利天恒药业股份有限公司,科创板,SSE,L,2023-01-06
688507.SH,688507,索辰科技,上海,软件服务,上海索辰信息科技股份有限公司,科创板,SSE,L,2023-04-18
688508.SH,688508,芯朋微,江苏,半导体,无锡芯朋微电子股份有限公司,科创板,SSE,L,2020-07-22
688509.SH,688509,正元地信,北京,软件服务,正元地理信息集团股份有限公司,科创板,SSE,L,2021-07-30
688510.SH,688510,航亚科技,江苏,航空,无锡航亚科技股份有限公司,科创板,SSE,L,2020-12-16
688511.SH,688511,天微电子,四川,元器件,四川天微电子股份有限公司,科创板,SSE,L,2021-07-30
688512.SH,688512,慧智微-U,广东,半导体,广州慧智微电子股份有限公司,科创板,SSE,L,2023-05-16
688513.SH,688513,苑东生物,四川,化学制药,成都苑东生物制药股份有限公司,科创板,SSE,L,2020-09-02
688515.SH,688515,裕太微-U,江苏,半导体,裕太微电子股份有限公司,科创板,SSE,L,2023-02-10
688516.SH,688516,奥特维,江苏,专用机械,无锡奥特维科技股份有限公司,科创板,SSE,L,2020-05-21
688517.SH,688517,金冠电气,河南,电气设备,金冠电气股份有限公司,科创板,SSE,L,2021-06-18
688518.SH,688518,联赢激光,深圳,专用机械,深圳市联赢激光股份有限公司,科创板,SSE,L,2020-06-22
688519.SH,688519,南亚新材,上海,元器件,南亚新材料科技股份有限公司,科创板,SSE,L,2020-08-18
688520.SH,688520,神州细胞-U,北京,生物制药,北京神州细胞生物技术集团股份公司,科创板,SSE,L,2020-06-22
688521.SH,688521,芯原股份,上海,半导体,芯原微电子(上海)股份有限公司,科创板,SSE,L,2020-08-18
688522.SH,688522,纳睿雷达,广东,通信设备,广东纳睿雷达科技股份有限公司,科创板,SSE,L,2023-03-01
688523.SH,688523,航天环宇,湖南,航空,湖南航天环宇通信科技股份有限公司,科创板,SSE,L,2023-06-02
688525.SH,688525,佰维存储,深圳,半导体,深圳佰维存储科技股份有限公司,科创板,SSE,L,2022-12-30
688526.SH,688526,科前生物,湖北,农业综合,武汉科前生物股份有限公司,科创板,SSE,L,2020-09-22
688528.SH,688528,秦川物联,四川,电器仪表,成都秦川物联网科技股份有限公司,科创板,SSE,L,2020-07-01
688529.SH,688529,豪森智能,辽宁,专用机械,大连豪森智能制造股份有限公司,科创板,SSE,L,2020-11-09
688530.SH,688530,欧莱新材,广东,半导体,广东欧莱高新材料股份有限公司,科创板,SSE,L,2024-05-09
688531.SH,688531,日联科技,江苏,专用机械,无锡日联科技股份有限公司,科创板,SSE,L,2023-03-31
688533.SH,688533,上声电子,江苏,汽车配件,苏州上声电子股份有限公司,科创板,SSE,L,2021-04-19
688535.SH,688535,华海诚科,江苏,半导体,江苏华海诚科新材料股份有限公司,科创板,SSE,L,2023-04-04
688536.SH,688536,思瑞浦,江苏,半导体,思瑞浦微电子科技(苏州)股份有限公司,科创板,SSE,L,2020-09-21
688538.SH,688538,和辉光电-U,上海,半导体,上海和辉光电股份有限公司,科创板,SSE,L,2021-05-28
688539.SH,688539,高华科技,江苏,电器仪表,南京高华科技股份有限公司,科创板,SSE,L,2023-04-18
688543.SH,688543,国科军工,江西,专用机械,江西国科军工集团股份有限公司,科创板,SSE,L,2023-06-21
688548.SH,688548,广钢气体,广东,化工原料,广州广钢气体能源股份有限公司,科创板,SSE,L,2023-08-15
688549.SH,688549,中巨芯-U,浙江,元器件,中巨芯科技股份有限公司,科创板,SSE,L,2023-09-08
688550.SH,688550,瑞联新材,陕西,化工原料,西安瑞联新材料股份有限公司,科创板,SSE,L,2020-09-02
688551.SH,688551,科威尔,安徽,专用机械,科威尔技术股份有限公司,科创板,SSE,L,2020-09-10
688552.SH,688552,航天南湖,湖北,通信设备,航天南湖电子信息技术股份有限公司,科创板,SSE,L,2023-05-18
688553.SH,688553,汇宇制药-W,四川,化学制药,四川汇宇制药股份有限公司,科创板,SSE,L,2021-10-26
688556.SH,688556,高测股份,山东,专用机械,青岛高测科技股份有限公司,科创板,SSE,L,2020-08-07
688557.SH,688557,兰剑智能,山东,专用机械,兰剑智能科技股份有限公司,科创板,SSE,L,2020-12-02
688558.SH,688558,国盛智科,江苏,机床制造,南通国盛智能科技集团股份有限公司,科创板,SSE,L,2020-06-30
688559.SH,688559,海目星,深圳,专用机械,海目星激光科技集团股份有限公司,科创板,SSE,L,2020-09-09
688560.SH,688560,明冠新材,江西,电气设备,明冠新材料股份有限公司,科创板,SSE,L,2020-12-24
688561.SH,688561,奇安信-U,北京,软件服务,奇安信科技集团股份有限公司,科创板,SSE,L,2020-07-22
688562.SH,688562,航天软件,北京,软件服务,北京神舟航天软件技术股份有限公司,科创板,SSE,L,2023-05-24
688563.SH,688563,航材股份,北京,航空,北京航空材料研究院股份有限公司,科创板,SSE,L,2023-07-19
688565.SH,688565,力源科技,浙江,环境保护,浙江海盐力源环保科技股份有限公司,科创板,SSE,L,2021-05-13
688566.SH,688566,吉贝尔,江苏,化学制药,江苏吉贝尔药业股份有限公司,科创板,SSE,L,2020-05-18
688567.SH,688567,孚能科技,江西,电气设备,孚能科技(赣州)股份有限公司,科创板,SSE,L,2020-07-17
688568.SH,688568,中科星图,北京,软件服务,中科星图股份有限公司,科创板,SSE,L,2020-07-08
688569.SH,688569,铁科轨道,北京,运输设备,北京铁科首钢轨道技术股份有限公司,科创板,SSE,L,2020-08-31
688570.SH,688570,天玛智控,北京,专用机械,北京天玛智控科技股份有限公司,科创板,SSE,L,2023-06-05
688571.SH,688571,杭华股份,浙江,染料涂料,杭华油墨股份有限公司,科创板,SSE,L,2020-12-11
688573.SH,688573,信宇人,深圳,专用机械,深圳市信宇人科技股份有限公司,科创板,SSE,L,2023-08-17
688575.SH,688575,亚辉龙,深圳,医疗保健,深圳市亚辉龙生物科技股份有限公司,科创板,SSE,L,2021-05-17
688576.SH,688576,西山科技,重庆,医疗保健,重庆西山科技股份有限公司,科创板,SSE,L,2023-06-06
688577.SH,688577,浙海德曼,浙江,机床制造,浙江海德曼智能装备股份有限公司,科创板,SSE,L,2020-09-16
688578.SH,688578,艾力斯,上海,化学制药,上海艾力斯医药科技股份有限公司,科创板,SSE,L,2020-12-02
688579.SH,688579,山大地纬,山东,软件服务,山大地纬软件股份有限公司,科创板,SSE,L,2020-07-17
688580.SH,688580,伟思医疗,江苏,医疗保健,南京伟思医疗科技股份有限公司,科创板,SSE,L,2020-07-21
688581.SH,688581,安杰思,浙江,医疗保健,杭州安杰思医学科技股份有限公司,科创板,SSE,L,2023-05-19
688582.SH,688582,芯动联科,安徽,电器仪表,安徽芯动联科微系统股份有限公司,科创板,SSE,L,2023-06-30
688584.SH,688584,上海合晶,上海,半导体,上海合晶硅材料股份有限公司,科创板,SSE,L,2024-02-08
688585.SH,688585,上纬新材,上海,化工原料,上纬新材料科技股份有限公司,科创板,SSE,L,2020-09-28
688586.SH,688586,江航装备,安徽,航空,合肥江航飞机装备股份有限公司,科创板,SSE,L,2020-07-31
688588.SH,688588,凌志软件,江苏,软件服务,苏州工业园区凌志软件股份有限公司,科创板,SSE,L,2020-05-11
688589.SH,688589,力合微,深圳,半导体,深圳市力合微电子股份有限公司,科创板,SSE,L,2020-07-22
688590.SH,688590,新致软件,上海,软件服务,上海新致软件股份有限公司,科创板,SSE,L,2020-12-07
688591.SH,688591,泰凌微,上海,半导体,泰凌微电子(上海)股份有限公司,科创板,SSE,L,2023-08-25
688592.SH,688592,司南导航,上海,通信设备,上海司南卫星导航技术股份有限公司,科创板,SSE,L,2023-08-16
688593.SH,688593,新相微,上海,半导体,上海新相微电子股份有限公司,科创板,SSE,L,2023-06-01
688595.SH,688595,芯海科技,深圳,半导体,芯海科技(深圳)股份有限公司,科创板,SSE,L,2020-09-28
688596.SH,688596,正帆科技,上海,专用机械,上海正帆科技股份有限公司,科创板,SSE,L,2020-08-20
688597.SH,688597,煜邦电力,北京,电器仪表,北京煜邦电力技术股份有限公司,科创板,SSE,L,2021-06-17
688598.SH,688598,金博股份,湖南,矿物制品,湖南金博碳素股份有限公司,科创板,SSE,L,2020-05-18
688599.SH,688599,天合光能,江苏,电气设备,天合光能股份有限公司,科创板,SSE,L,2020-06-10
688600.SH,688600,皖仪科技,安徽,电器仪表,安徽皖仪科技股份有限公司,科创板,SSE,L,2020-07-03
